[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 5000000 Coins to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 1000 Manta ray to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 1000 Air rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 200 Nature rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 1000 Earth rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 1000 Water rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 100 Death rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 100 Chaos rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 1000 Fire rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 500 Mind rune to the user Ice [76.30.94.165]
[Mon Aug 19 12:05:40 PDT 2013] Rewrwefdsfs [76.30.94.165] traded 200 Blood rune to the user Ice [76.30.94.165]
